  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
27-2526-01A-01R-1850-01+2,60043646,1822492,346412,,,,,,,,,,,,
27-2528-01A-01R-1850-01+1,41422271,978111,179838,,,,,,,,,,,,
27-2528-01A-01R-1850-01+2,63079479,1659104,316140,,,,,,,,,,,,
28-1747-01C-01R-1850-01+1,59379194,1629225,263438,,,,,,,,,,,,
28-1747-01C-01R-1850-01+2,39807606,1014699,167901,,,,,,,,,,,,
28-1753-01A-01R-1850-01+1,43149852,3519695,583297,,,,,,,,,,,,
28-1753-01A-01R-1850-01+2,56764050,4122247,724673,,,,,,,,,,,,
28-2499-01A-01R-1850-01+1,66407811,2076519,554445,,,,,,,,,,,,
28-2499-01A-01R-1850-01+2,41883691,1286251,442342,,,,,,,,,,,,
28-2509-01A-01R-1850-01+1,41414874,994907,169420,,,,,,,,,,,,
28-2509-01A-01R-1850-01+2,64557310,1679337,274774,,,,,,,,,,,,
28-2510-01A-01R-1850-01+1,57805993,1678204,178559,,,,,,,,,,,,
28-2510-01A-01R-1850-01+2,35955126,868029,63180,,,,,,,,,,,,
28-2513-01A-01R-1850-01+1,42410573,1682735,602859,,,,,,,,,,,,
28-2513-01A-01R-1850-01+2,64784212,2357167,723573,,,,,,,,,,,,
